name,skills
Student_1,"python, machine learning, sql"
Student_2,"java, html, css, javascript"
Student_3,"flutter, dart, firebase"
Student_4,"python, deep learning, ai"
Student_5,"react, nodejs, express, mongodb"
Student_6,"c, c++, data structures"
Student_7,"python, pandas, data science"
Student_8,"html, css, ui/ux, figma"
Student_9,"aws, cloud, docker"
Student_10,"linux, cybersecurity, networking"
Student_11,"python, tensorflow, ai"
Student_12,"java, spring boot, sql"
Student_13,"flutter, firebase, dart"
Student_14,"react, javascript, html"
Student_15,"python, opencv, computer vision"
Student_16,"ai, ml, python"
Student_17,"python, nlp, transformers"
Student_18,"c++, dsa, algorithms"
Student_19,"html, css, javascript"
Student_20,"python, pandas, numpy"
Student_21,"react, typescript, frontend"
Student_22,"nodejs, express, mongodb"
Student_23,"python, flask, api"
Student_24,"java, android, kotlin"
Student_25,"flutter, bloc, firebase"
Student_26,"python, sklearn, ml"
Student_27,"aws, devops, docker"
Student_28,"python, pytorch, deep learning"
Student_29,"html, css, bootstrap"
Student_30,"python, django, web dev"
Student_31,"figma, ui/ux, design"
Student_32,"react, tailwind, javascript"
Student_33,"python, keras, ai"
Student_34,"java, mysql, backend"
Student_35,"python, sql, pandas"
Student_36,"c, embedded systems, arduino"
Student_37,"python, flask, docker"
Student_38,"python, ai, nlp"
Student_39,"flutter, dart, firebase"
Student_40,"html, css, react"
Student_41,"python, sql, data visualization"
Student_42,"aws, cloud, linux"
Student_43,"python, keras, tensorflow"
Student_44,"react, javascript, nodejs"
Student_45,"python, flask, api, docker"
Student_46,"html, css, ui/ux"
Student_47,"java, spring, backend"
Student_48,"python, numpy, pandas"
Student_49,"flutter, dart, firebase"
Student_50,"python, ml, ai"
